RA,DEC,z,W1mag,W2mag,W1_W2,M_W1,L_W1,Mstar,log_mass,galaxy_type
175.1434,44.0967,0.3848,13.7510004,13.59599972,0.155000687,-27.90021847,2.85817E+12,7.80523E+11,11.89238571,Giant Elliptical / BCG
171.6643,-0.3455,0.3291,14.27799988,14.09300041,0.184999466,-26.97684545,1.22106E+12,2.79795E+11,11.44683995,Elliptical
351.2583,17.9082,0.1499,13.05799961,12.82699966,0.230999947,-26.27547448,6.40014E+11,1.1206E+11,11.04945062,Elliptical
201.566,48.8748,0.2801,14.87699986,14.42500019,0.451999664,-25.97429638,4.84974E+11,23315213960,10.36763941,Spiral
228.0646,15.2485,0.1841,14.53899956,14.23200035,0.306999207,-25.28561835,2.57186E+11,28871500490,10.46046936,Spiral
158.9545,49.3959,0.3709,14.53199959,14.19299984,0.338999748,-27.02551739,1.27705E+12,1.18891E+11,11.07514898,Elliptical
151.0289,20.8196,0.309,14.40799999,14.19099998,0.217000008,-26.68847348,9.36245E+11,1.77914E+11,11.25021012,Elliptical
359.3848,30.8959,0.295,14.7510004,14.34599972,0.405000687,-26.22946358,6.13459E+11,38822516869,10.58908369,Elliptical
193.9219,44.091,0.2343,14.40100002,14.13199997,0.269000053,-26.00939848,5.0091E+11,70226213910,10.84649926,Elliptical
175.859,-0.4574,0.3503,16.55900002,15.81700039,0.741999626,-24.85351492,1.72745E+11,1523094737,9.182726917,Spiral
325.0043,-8.0982,0.1293,12.75300026,12.5710001,0.18200016,-26.23137478,6.1454E+11,1.43308E+11,11.15627044,Elliptical
185.2886,19.2173,0.3236,14.3409996,14.12899971,0.211999893,-26.87141437,1.10807E+12,2.16813E+11,11.33608532,Elliptical
323.8009,-1.0488,0.319,14.10900021,13.90600014,0.203000069,-27.06741299,1.32729E+12,2.73744E+11,11.43734461,Elliptical
231.3056,2.5746,0.3063,13.99199963,13.80799961,0.184000015,-27.08248216,1.34584E+12,3.10194E+11,11.49163339,Elliptical
126.3711,47.1336,0.1268,11.98700047,11.88500023,0.102000237,-26.95151446,1.1929E+12,4.44145E+11,11.64752478,Giant Elliptical / BCG
249.5036,37.8833,0.163,14.93000031,14.72000027,0.210000038,-24.60284718,1.37132E+11,27148058332,10.43373877,Spiral
127.4977,56.329,0.2698,14.00599957,13.73200035,0.273999214,-26.75225798,9.92895E+11,1.3519E+11,11.13094457,Elliptical
119.0889,30.2838,0.3203,14.0710001,13.89999962,0.171000481,-27.1156354,1.38757E+12,3.45075E+11,11.5379135,Giant Elliptical / BCG
235.8223,7.9504,0.3586,14.23499966,14.00199986,0.232999802,-27.23686011,1.55147E+12,2.68488E+11,11.42892488,Elliptical
164.0978,21.2487,0.3938,15.48900032,14.95400047,0.534999847,-26.22123649,6.08828E+11,18013370626,10.25559498,Spiral
11.1177,1.8363,0.3601,14.77700043,14.48400021,0.293000221,-26.70544907,9.50998E+11,1.15867E+11,11.06395976,Elliptical
148.2049,51.8848,0.2143,13.62300014,13.34399986,0.279000282,-26.56937779,8.38979E+11,1.10941E+11,11.04509208,Elliptical
233.8405,37.3961,0.1543,12.7510004,12.49499989,0.256000519,-26.65118952,9.0464E+11,1.36847E+11,11.13623528,Elliptical
3.2037,-8.9265,0.3369,15.77000046,15.53199959,0.23800087,-25.54391453,3.26261E+11,54833201629,10.7390436,Elliptical
227.6678,2.5905,0.2202,16.3390007,15.72599983,0.61300087,-23.9195808,73085684491,1370282494,9.136810109,Spiral
